BĐS,Loại BĐS,Tỉnh/Thành phố,Quận/Huyện,Diện tích(m2),Phòng ngủ,Nhà vệ sinh,Giá (tỷ đồng),Triệu/m2,Thời gian(năm)
"BÁN 300M2 ĐẤT, MẶT TIỀN 15M TẠI TĐC ĐẠI HỌC QUỐC GIA, CÓ THỂ...",Nhà Đất Thổ Cư,Hà Nội,Huyện Thạch Thất,300.0,1.0,1.0,8.0,26.7,2022
"CHỈ 1.35 TỶ SỞ HỮU NGAY CĂN HỘ 1N 1 VIEW NỘI KHU CÔNG VIÊN,S...",Căn Hộ Chung Cư,Hà Nội,Huyện Gia Lâm,47.0,1.0,1.0,1.0,21.3,2022
"CẦN BÁN CĂN GÓC 3PN 80M2 TẦNG TRUNG,VIEW CÔNG VIÊN THOÁNG MÁ...",Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,80.0,3.0,2.0,2.0,25.0,2022
- CHÍNH CHỦ GỬI BÁN MẢNH ĐẤT MẶT NGÕ Ô TÔ TRÁNH - KINH DOANH...,Nhà Đất Thổ Cư,Hà Nội,Quang Trung,60.0,1.0,1.0,7.0,116.7,2022
BÁN MẢNH ĐẤT NGÕ Ô TÔ TRÁNH - KINH DOANH - TRUNG TÂM HÀ ĐÔNG...,Nhà Đất Thổ Cư,Hà Nội,Trần Phú,60.0,1.0,1.0,7.0,116.7,2022
CẦN BÁN GẤP NHÀ MỸ ĐÌNH 30M NHÀ 4 TẦNG MẶT TIỀN 4M GIÁ 2.8 T...,Nhà Đất Thổ Cư,Hà Nội,Lê Quang Đạo,30.0,2.0,3.0,2.0,66.7,2022
"CHỈ TỪ 900 TRIỆU, SỞ HỮU CHUNG CƯ CAO CẤP MELODY LINH ĐÀM",Căn Hộ Chung Cư,Hà Nội,HaNoi Melody Residences,75.0,2.0,2.0,3.0,40.0,2022
BÁN NHÀ 5 TẦNG TẠI CẦU GIẤY GẦN PHỐ GẦN Ô TÔ,Nhà Đất Thổ Cư,Hà Nội,Quận Cầu Giấy,33.0,1.0,1.0,4.0,121.2,2022
CẦN BÁN NHÀ ĐẸP TẠI PHỐ VĂN CAO QUẬN BA ĐÌNH HÀ NỘI,Nhà Đất Thổ Cư,Hà Nội,Đội Cấn,38.0,3.0,3.0,4.0,105.3,2022
BÁN GẤP NHÀ CỰC ĐẸP CHIẾN THẮNG- Ô TÔ ĐỖ GIÁ CHỈ 4 TỶ,Nhà Đất Thổ Cư,Hà Nội,Quận Hà Đông,30.0,3.0,3.0,4.0,133.3,2022
CHÍNH CHỦ BÁN GẤP NHÀ LÊ TRỌNG TẤN CHỈ TRONG T7 2022,Nhà Đất Thổ Cư,Hà Nội,Liền Kề Him Lam Vạn Phúc,32.0,3.0,3.0,4.0,125.0,2022
"PHAN KẾ BÍNH, NHÀ ĐẸP LONG LANH,GẦN OTO, LÔ GÓC, DT 50M2, 5P...",Nhà Đất Thổ Cư,Hà Nội,Quận Ba Đình,50.0,5.0,1.0,8.0,160.0,2022
"BÁN NHÀ_BỒ ĐỀ LONG BIÊN_ Ô TÔ ĐỖ CỬA_50 M2_4,5 M2_7,6 TỶ",Nhà Đất Thổ Cư,Hà Nội,Quận Long Biên,50.0,1.0,1.0,7.0,140.0,2022
"CẦN BÁN MẢNH ĐẤT, BÁT KHỐI, DIỆN TÍCH 82M2, MẶT TIỀN 4.2M, G...",Nhà Đất Thổ Cư,Hà Nội,Quận Long Biên,82.0,1.0,1.0,5.0,61.0,2022
CHỈ TỪ 3 2 TỶ ĐỂ SỞ HỮU CĂN CHUNG CƯ CAO CẤP MELODY LINH ĐÀM...,Căn Hộ Chung Cư,Hà Nội,HaNoi Melody Residences,72.0,2.0,2.0,3.0,41.7,2022
"BÁN NHÀ PHỐ ĐẶNG VĂN NGỮ, VỊ TRÍ CỰC ĐỈNH, NGỒI CHƠI HÁI RA ...",Nhà Đất Thổ Cư,Hà Nội,Quận Đống Đa,65.0,1.0,1.0,9.0,138.5,2022
"CĂN 1N 1, DT 47M2 CHỈ TỪ 1.28 TỶ TẠI VIN HOMES OCEAN PARK ...",Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,47.0,1.0,1.0,1.0,21.3,2022
BÁN ĐẤT TẠI ĐỒNG CHẰM ĐÔNG XUÂN GẦN TRƯỜNG SĨ QUAN CHÍNH TRỊ...,Nhà Đất Thổ Cư,Hà Nội,Huyện Quốc Oai,249.0,1.0,1.0,3.0,12.1,2022
MỞ BÁN ĐỢT 1 CĂN HỘ CHUNG CƯ CAO CẤP HOÀNG THÀNH PEARL,Căn Hộ Chung Cư,Hà Nội,Chung Cư Hoàng Thành Pearl,80.0,3.0,2.0,3.0,37.5,2022
BÁN CHUNG CƯ BID RESIDENCE TRỰC TIẾP CHỦ ĐẦU TƯ,Căn Hộ Chung Cư,Hà Nội,Chung Cư Bid Residence,70.0,2.0,2.0,2.0,28.6,2022
"🥵SỐC CẦN BÁN GẤP NHÀ MỚI 5 TẦNG TẠI GIA THỤY, LB VỚI CHIẾC ...",Nhà Đất Thổ Cư,Hà Nội,Quận Long Biên,35.0,1.0,1.0,3.0,85.7,2022
"ĐỘI CẤN, NGỌC HÀ - LÔ GÓC - SỔ VUÔNG CHÍNH CHỦ - GẦN PHỐ DT ...",Nhà Đất Thổ Cư,Hà Nội,Quận Ba Đình,40.0,1.0,1.0,80.0,2000.0,2022
"CẦN BÁN MẢNH ĐẤT 144.6M2, MT 5M TẠI TRUNG LẠC, CỔ ĐÔNG , SƠN...",Nhà Đất Thổ Cư,Hà Nội,Thành Phố Sơn Tây,144.0,1.0,1.0,1.0,6.9,2022
"MỞ BÁN CĂN HỘ HÀ NỘI MELODY, GIÁ CHỈ TỪ 3,2 TỶ/CĂN - 72M2",Căn Hộ Chung Cư,Hà Nội,HaNoi Melody Residences,74.0,2.0,2.0,3.0,40.5,2022
BÁN GẤP NHÀ NGUYỄN TRÃI THANH XUÂN 13.5TỶ 86M2 NHÀ 8TẦNG MẶT...,Nhà Đất Thổ Cư,Hà Nội,Quận Thanh Xuân,86.0,11.0,11.0,13.0,151.2,2022
BÁN CẮT LỖ CHUNG CƯ CAO CẤP CĐT HƯNG THỊNH 96M2. HỖ TRỢ VAY ...,Căn Hộ Chung Cư,Hà Nội,HaNoi Melody Residences,96.0,2.0,2.0,4.0,41.7,2022
"BÁN ĐẤT HỒ TÙNG MẬU, CẦU GIẤY, VUÔNG NHƯ A4, 84M, GIÁ CHỈ 76...",Nhà Đất Thổ Cư,Hà Nội,Quận Cầu Giấy,84.0,1.0,1.0,6.0,71.4,2022
"BÁN 254M2 ĐẤT TÁI ĐỊNH CƯ KHU B ĐỒNG MÔ BA VÌ, CỔNG SAU SÂN ...",Nhà Đất Thổ Cư,Hà Nội,Huyện Ba Vì,254.0,1.0,1.0,2.0,7.9,2022
"BÁN NHÀ TRẦN ĐẠI NGHĨA, PHÂN LÔ, 2 THOÁNG, Ô TÔ, KINH DOANH,...",Nhà Đất Thổ Cư,Hà Nội,Quận Hai Bà Trưng,80.0,4.0,4.0,21.0,262.5,2022
"BÁN NHÀ TAM TRINH, PHÂN LÔ, VỈA HÈ, KINH DOANH, 6 TỶ. 098367...",Nhà Đất Thổ Cư,Hà Nội,Quận Hoàng Mai,35.0,4.0,4.0,6.0,171.4,2022
CHỈ 1.7 TỶ CĂN 2 NGỦ FULL NỘI THẤT TẠI VINHOMES OCEAN PARK,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,60.0,2.0,1.0,1.0,16.7,2022
"ĐÀO TẤN, HIẾM GẦN LOTTE, ĐẠI SỨ QUÁN NHÀ LONG LANH 5TẦNG, GI...",Nhà Đất Thổ Cư,Hà Nội,Quận Ba Đình,45.0,1.0,1.0,6.0,133.3,2022
"CĂN HỘ CAO CẤP NGÃ TƯ KHUẤT DUY TIẾN 80M2, 2,6 TỶ, FUL...",Căn Hộ Chung Cư,Hà Nội,Housinco Premium,80.0,1.0,1.0,2.0,25.0,2022
GIÁ CHỈ TỪ 2 TỶ NHẬN NHÀ NGAY DỰ ÁN TECCO DIAMOND THANH TRÌ ...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,2.0,28.6,2022
"CHÍNH CHỦ CẦN BÁN ĐẤT THƯ PHÚ, ĐẤT Ở HOẶC ĐẦU TƯ RẤT OK, GIÁ...",Nhà Đất Thổ Cư,Hà Nội,Đường 427a,91.0,1.0,1.0,2.0,22.0,2022
"BÁN ĐẤT THỔ CƯ THƯỜNG TÍN, ĐẤT VUÔNG BÁNH TRƯNG, ĐƯỜNG TỈNH ...",Nhà Đất Thổ Cư,Hà Nội,Đường 427a,169.0,1.0,1.0,8.0,47.3,2022
BÁN NHÀ LÊ TRỌNG TẤN HÀ ĐÔNG KINH DOANH VĂN PHÒNG SPA P...,Nhà Đất Thổ Cư,Hà Nội,Lê Trọng Tấn,51.0,5.0,4.0,9.0,176.5,2022
"CHỈ 2,167 TỶ SỞ HỮU NGAY CĂN HỘ 2PN 2WC TẠI DỰ ÁN ĐẸP NHẤT K...",Căn Hộ Chung Cư,Hà Nội,Kđt ViệT Hưng,72.0,2.0,2.0,2.0,27.8,2022
BÁN NHÀ TRUNG TÂM THANH XUÂN 50MX5T GIÁ NHỈNH 4 TỶ.,Nhà Đất Thổ Cư,Hà Nội,Quận Thanh Xuân,50.0,1.0,1.0,4.0,80.0,2022
"BÁN ĐẤT TẶNG NHÀ AN DƯƠNG VƯƠNG, 79M2, 5TỶ 8",Nhà Đất Thổ Cư,Hà Nội,Quận Tây Hồ,79.0,3.0,2.0,5.0,63.3,2022
BÁN NHÀ K7 KHU TẬP THỂ BÁCH KHOA ĐÃ ĐƯỢC SỬA CHỮA ĐẸP ĐẦY ĐỦ...,Căn Hộ Chung Cư,Hà Nội,Lê Thanh Nghị,65.0,2.0,1.0,2.0,30.8,2022
"DUY NHẤT, GIÁ PHÁ GIÁ CĂN LÔ GÓC A14 NAM TRUNG YÊN, CẦU GIẤY",Căn Hộ Chung Cư,Hà Nội,Quận Cầu Giấy,55.0,2.0,1.0,1.0,18.2,2022
"CẦN BÁN GẤP NHÀ MỚI, ĐẸP, GIÁ SIÊU RẺ CHỈ CÓ 2.7 TỶ TẠI KĐT ...",Nhà Đất Thổ Cư,Hà Nội,Kđt Văn Phú,34.0,3.0,4.0,2.0,58.8,2022
"BÁN CĂN CHUNG CƯ TÒA CT12 VĂN PHÚ, HÀ ĐÔNG - 69,3M2 - 1,78 T...",Căn Hộ Chung Cư,Hà Nội,Quận Hà Đông,70.0,2.0,2.0,1.0,14.3,2022
"BÁN NHÀ HOÀNG QUỐC VIỆT, 53M2X7T, 15.5 TỶ, LÔ GÓC, Ô TÔ, KIN...",Nhà Đất Thổ Cư,Hà Nội,Đường Hoàng Quốc Việt,53.0,1.0,1.0,15.0,283.0,2022
QUỸ CĂN 2 NGỦ SIÊU ĐẸP CUỐI CÙNG CỦA DỰ ÁN TECCO DIAMOND NHẬ...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,1.0,14.3,2022
05 CĂN CUỐI CÙNG NHẬN NHÀ NGAY DỰ ÁN TECCO DIAMOND THANH TRÌ...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,2.0,28.6,2022
"BÁN NHÀ NGUYỄN VĂN CỪ, PHÂN LÔ Ô TÔ ĐỖ CỬA, 32M2",Nhà Đất Thổ Cư,Hà Nội,Quận Long Biên,34.0,1.0,1.0,4.0,117.7,2022
"BÁN NHÀ NT VIP Ô CHỢ DỪA, ĐỐNG ĐA, BA MẶT THOÁNG, 36MX4T, NH...",Nhà Đất Thổ Cư,Hà Nội,Quận Đống Đa,36.0,1.0,1.0,5.0,138.9,2022
"HƠN 1 TỶ CHÚT CÓ NGAY LÔ ĐẤT 145M2 TẠI CỔ ĐÔNG SƠN TÂY, ĐƯỜN...",Nhà Đất Thổ Cư,Hà Nội,Thành Phố Sơn Tây,145.0,1.0,1.0,1.0,6.9,2022
"CHỈ 600 TRIỆU NHẬN NHÀ Ở NGAY CĂN 2PN FULL NỘI THẤT, ĐÃ CÓ S...",Căn Hộ Chung Cư,Hà Nội,Căn Hộ Eco City Việt Hưng,64.0,2.0,2.0,1.0,15.6,2022
"CẦN TIỀN BÁN GẤP GIÁ RẺ NHẤT THỊ TRƯỜNG CĂN 2PN 2,55 TỶ QUẬN...",Căn Hộ Chung Cư,Hà Nội,Kđt An Hưng,69.0,2.0,2.0,255.0,3695.7,2022
TÒA NHÀ VỚI NGÕ Ô TÔ THÔNG CÁC TUYẾN PHỐ. THIẾT KẾ 4 TẦNG ƯU...,Nhà Đất Thổ Cư,Hà Nội,Cầu Giấy,57.0,4.0,4.0,7.0,122.8,2022
CẦN TIỀN NÊN BÁN NHANH CĂN 1N 1 GIÁ 1 25 TỶ TẠI VINHOMES OCE...,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,47.0,1.0,1.0,1.0,21.3,2022
"BÁN CĂN 2 NGỦ VÀ 3 NGỦ GIÁ 26 TRIỆU/M2,KHU ĐÔ THỊ MỚ...",Căn Hộ Chung Cư,Hà Nội,Housinco Premium,70.0,1.0,1.0,1.0,14.3,2022
"CHÍNH CHỦ CẦN BÁN GẤP NHÀ CUNG ĐIỆN PHỐ LÊ QUÝ ĐÔN 42M, PHÂN...",Nhà Đất Thổ Cư,Hà Nội,Quận Hà Đông,42.0,1.0,1.0,6.0,142.9,2022
CHÍNH CHỦ BÁN LÔ GÓC TẠI THANH OAI HN GIÁ RẺ NHU BÈO NGƯỜI N...,Nhà Đất Thổ Cư,Hà Nội,Huyện Thanh Oai,135.0,1.0,1.0,27.0,200.0,2022
CHÍNH CHỦ BÁN LÔ GÓC HỒNG DƯƠNG CẮT LỖ GIÁ NET CHO CÁC NHÀ Đ...,Nhà Đất Thổ Cư,Hà Nội,Huyện Thanh Oai,135.0,1.0,1.0,2.0,14.8,2022
CHỈ 2TỶ CÓ 24M2 4TẦNG MT:3.5 NGÕ THÔNG KINH DOANH CÁCH Ô TÔ ...,Nhà Đất Thổ Cư,Hà Nội,Quận Đống Đa,24.0,3.0,2.0,2.0,83.3,2022
"BÁN NHÀ NT VIP ĐƯỜNG LÁNG, THỊNH QUANG, GẦN LÊ VĂN LƯƠNG, NỞ...",Nhà Đất Thổ Cư,Hà Nội,Láng,30.0,3.0,3.0,3.0,100.0,2022
BÁN NHANH CĂN HỘ 90M2-2 NGỦ TẠI KHU ĐÔ THỊ VĂN KHÊ- HÀ ĐÔNG-...,Căn Hộ Chung Cư,Hà Nội,Kđt Văn Khê,90.0,2.0,2.0,2.0,22.2,2022
BÁN CĂN HỘ 3 NGỦ-114M2 Ở HOUSINCO NGUYỄN XIỂN GIÁ TỐT,Căn Hộ Chung Cư,Hà Nội,Housinco Premium,114.0,3.0,2.0,3.0,26.3,2022
TÔI CẦN BÁN CĂN HỘ 2 NGỦ-82M2 TẠI CHUNG CƯ HÒA PHÁT 257 GIẢI...,Căn Hộ Chung Cư,Hà Nội,Giải Phóng,82.0,2.0,2.0,3.0,36.6,2022
"GẤP CẦN BÁN NHÀ THƯỢNG CÁT, LB NGÕ THÔNG",Nhà Đất Thổ Cư,Hà Nội,Đường Vào Thượng Cát,36.0,1.0,1.0,3.0,83.3,2022
"CHỈ TỪ 1,8 TỶ KHÁCH HÀNG SỞ HỮU CĂN HỘ RỘNG RÃI 3PN2WC-LH 03...",Căn Hộ Chung Cư,Hà Nội,Chung Cư Eurowindow River Park,7.0,3.0,2.0,168.0,24000.0,2022
"BÁN CẮT LỖ CĂN 69M DỰ ÁN TECCO DIAMOND THANH TRÌ , NHẬN NHÀ ...",Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,69.0,2.0,2.0,2.0,29.0,2022
"CHÍNH CHỦ BÁN CĂN HỘ CHUNG CƯ TECCO DIAMOND , THANH TRÌ, ...",Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,1.0,14.3,2022
CHUNG CƯ TECCO DIAMOND THANH TOÁN 550TR SỞ HỮU CĂN HỘ 2PN 64...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,64.0,2.0,2.0,1.0,15.6,2022
"BÁN CĂN HỘ 75M2 , THIẾT KẾ 2 PHÒNG NGỦ, 2VỆ SINH ,2 LOGIA ...",Căn Hộ Chung Cư,Hà Nội,Rose Town,71.0,2.0,2.0,1.0,14.1,2022
NHANH TAY SỞ HỮU CĂN HỘ 69M CHỈ VỚI 561TR THUỘC KHU ĐÔ THỊ ...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,69.0,2.0,2.0,1.0,14.5,2022
"CĂN HỘ 2PN CHỈ 1.8 TỶ THUỘC KĐT TỨ HIỆP THANH TRÌ, NHẬN NHÀ ...",Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,69.0,2.0,2.0,1.0,14.5,2022
TĂNG 30TR KHI MUA CĂN HỘ 2PN 64M D.A TECCO DIAMOND KDT TỨ H...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,64.0,2.0,2.0,1.0,15.6,2022
"CHUNG CƯ ROSE TOWN 79 NGỌC HỒI CĂN HỘ 2PN CHỈ 1,7 TỶ",Căn Hộ Chung Cư,Hà Nội,Rose Town,65.0,2.0,2.0,1.0,15.4,2022
"CHUNG CƯ XUÂN MAI ROSE TOWN NHẬN NHÀ CUỐI NĂM 1,8TỶ QUÀ TẶNG...",Căn Hộ Chung Cư,Hà Nội,Rose Town,71.0,2.0,2.0,1.0,14.1,2022
"BÁN XUẤT NGOẠI GIAO CĂN 2PN DỰ ÁN ROSE TOWN CHỈ 1,8 TỶ",Căn Hộ Chung Cư,Hà Nội,Rose Town,65.0,2.0,2.0,1.0,15.4,2022
CĂN HỘ 95M KĐT TỨ HIỆP CHỈ VỚI 802TR NHẬN NHÀ LUÔNHÀ O,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,95.0,3.0,2.0,2.0,21.1,2022
"CƠ HỘI CUỐI CÙNG SỞ HỮU CĂN HỘ 2PN 2VS 2LOGIA 1,8TY NGAY TRU...",Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,69.0,2.0,2.0,1.0,14.5,2022
CHUNG CƯ TECCO DIAMOND NHẬN NHÀ Ở NGAY. GIÁ TỐT,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,69.0,2.0,2.0,1.0,14.5,2022
MỪNG NHÀ MỚI 30TR KHI MUA CĂN HỘ 2PN 70M NHẬN NHÀ Ở NGAY TẠI...,Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,1.0,14.3,2022
"BÁN CĂN NGOẠI GIAO TECCO DIAMOND CHỈ 1,9 TỶ",Căn Hộ Chung Cư,Hà Nội,Tecco Diamond,70.0,2.0,2.0,1.0,14.3,2022
CHÍNH CHỦ CẦN BÁN CĂN HỘ VINHOMES GIÁ RẺ SỐC,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,60.0,2.0,1.0,1.0,16.7,2022
"BÁN GẤP 78.6M2 CH 2 PN, 2VS TẦNG ĐẸP CHUNG CƯ THE GOLDEN AN ...",Căn Hộ Chung Cư,Hà Nội,Kđt An Khánh An Thượng,78.6,2.0,2.0,2.0,25.4,2022
BÁN NHÀ BỒ ĐỀ - LONG BIÊN - Ô TÔ ĐỖ CỔNG - TRUNG TÂM SẦM UẤT...,Nhà Đất Thổ Cư,Hà Nội,Quận Long Biên,44.0,3.0,4.0,4.0,90.9,2022
"TRỰC TIẾP CĐT: CHỈ 3,7 TỶ SỞ HỮU CĂN 3PN 87,3M2, NHẬN NHÀ Ở ...",Căn Hộ Chung Cư,Hà Nội,"Long Biên 1, 2",87.3,3.0,2.0,3.0,34.4,2022
"CẮT LỖ CĂN 2PN - 2VS VIEW SÔNG HỒNG CHỈ 2,1 TỶ LIỀN KỀ HỒ QU...",Căn Hộ Chung Cư,Hà Nội,Kđt ViệT Hưng,71.6,2.0,2.0,2.0,27.9,2022
BÁN CẮT LỖ CĂN 72M2 2PN GIÁ TỪ 2 TỶ HTLS 0 18 THÁNG CK 3 5 T...,Căn Hộ Chung Cư,Hà Nội,Kđt ViệT Hưng,71.6,2.0,2.0,2.0,27.9,2022
"CHUNG CƯ CAO CẤP 3 PHÒNG NGỦ TẠI MẶT PHỐ HỒNG TIẾN, PHƯỜNG B...",Căn Hộ Chung Cư,Hà Nội,Hc Golden City,120.2,3.0,2.0,6.0,49.9,2022
"CHỈ TỪ 1,9 TỶ ĐỂ SỞ HỮU CĂN HỘ 2 PHÒNG NGỦ TẠI LE GRAND JARD...",Căn Hộ Chung Cư,Hà Nội,Chung Cư Le Grand Jardin,51.0,2.0,1.0,1.0,19.6,2022
"HÀNG HOT CHỈ BÁN 2 NGÀY CUỐI TUẦN, LICOGI 13 KHUẤT DUY TIẾN,...",Căn Hộ Chung Cư,Hà Nội,Quận Thanh Xuân,81.0,2.0,2.0,2.0,24.7,2022
"SỞ HỮU NGAY CĂN HỘ 2PN 71.6M CHỈ 2,1 TỶ- GIÁ TỐT NHẤT TỪ CĐ...",Căn Hộ Chung Cư,Hà Nội,Kđt ViệT Hưng,72.0,2.0,2.0,2.0,27.8,2022
CẦU GIẤY- NHỈNH 5 TỶ - 6 TẦNG THANG MÁY - THIẾT KẾ VÔ CÙN...,Nhà Đất Thổ Cư,Hà Nội,Khu 173 Xuân Thủy,36.0,3.0,3.0,5.0,138.9,2022
"NHÀ ĐẸP NGÕ RỘNG, LÔ GÓC Ở NGUYỄN KHÁNH TOÀN CẦU GIẤY GIÁ CH...",Nhà Đất Thổ Cư,Hà Nội,Nguyễn Khánh Toàn,42.0,1.0,1.0,1.0,23.8,2022
"CC CAO CẤP HA NOI MELODY HOT NHẤT, CHIẾT KHẤU ĐẾN 12% CHO 10...",Căn Hộ Chung Cư,Hà Nội,Quận Hoàng Mai,80.0,2.0,2.0,3.0,37.5,2022
NHÀ ĐẸP CC THE VESTA 69M2 GIÁ CHỈ 1 450 TỈ,Căn Hộ Chung Cư,Hà Nội,Đường 21 B,69.0,3.0,2.0,1.0,14.5,2022
CHỈ VỚI 200TR SỞ HỮU CĂN HỘ 2PN IMPERIA SMART CITY TÂY MỖ,Căn Hộ Chung Cư,Hà Nội,Vinhomes Smart City,52.2,2.0,2.0,2.0,38.3,2022
1.95 TỶ SỞ HỮU CĂN HỘ 2PN BC ĐÔNG NAM TẠI LE GRAND JARD...,Căn Hộ Chung Cư,Hà Nội,Chung Cư Le Grand Jardin,50.9,2.0,1.0,1.0,19.6,2022
"LÔ GÓC 75M2 FUL THỔ CƯ, TẠI TRÚC ĐỘNG ĐỒNG TRÚC, GẦN KHU CNC...",Nhà Đất Thổ Cư,Hà Nội,Huyện Thạch Thất,75.0,1.0,1.0,1.0,13.3,2022
"BÁN 320M2 ĐẤT THỔ CƯ, NGUYỄN ĐỔNG CHI, NAM TỪ LIÊM, MẶT TIỀN...",Nhà Đất Thổ Cư,Hà Nội,Quận Nam Từ Liêm,320.0,1.0,1.0,14.0,43.8,2022
"3.628 TỶ SỞ HỮU CĂN HỘ 3PN HOÀNG GIA HC GOLDEN CITY, NHẬN NH...",Căn Hộ Chung Cư,Hà Nội,Hc Golden City,82.1,3.0,2.0,3.0,36.5,2022
TẶNG KIM CƯƠNG KHI MUA NHÀ TẠI DỰ ÁN BRG DIAMOND RESIDENCE S...,Căn Hộ Chung Cư,Hà Nội,Lê Văn Lương,103.0,3.0,2.0,6.0,58.2,2022
TẬP ĐOÀN HƯNG THỊNH MỞ BÁN ĐỢT 1 CHUNG CƯ CAO CẤP TẠI HÀ NỘI,Căn Hộ Chung Cư,Hà Nội,Hoàng Mai,75.0,2.0,2.0,3.0,40.0,2022
"GIÁ TỐT, CĂN HỘ CHUNG CƯ CẦU GIẤY, DT 65M2, 2PN, FULL ĐỒ",Căn Hộ Chung Cư,Hà Nội,Chung Cư 335 Cầu Giấy,65.0,2.0,1.0,2.0,30.8,2022
"NHÀ ĐẸP HIẾM 65M NGUYỄN CHÍ THANH, KINH DOANH, Ô TÔ, 6.5 TỶ",Nhà Đất Thổ Cư,Hà Nội,Quận Đống Đa,65.0,1.0,1.0,6.0,92.3,2022
"NHANH TAY SỞ HỮU LÔ ĐẤT 74.5M2, LÔ GÓC 2 MẶT TIỀN,FULL THỔ C...",Nhà Đất Thổ Cư,Hà Nội,Huyện Thạch Thất,74.0,1.0,1.0,1.0,13.5,2022
CẦN BÁN CĂN HỘ CHUNG CƯ SÀI ĐỒNG LONG BIÊN CĂN HỘ 66M2 HƯỚNG...,Căn Hộ Chung Cư,Hà Nội,Hà Nội Homeland,66.0,2.0,2.0,2.0,30.3,2022
5 X TỶ PHÂN LÔ KHUẤT DUY TIẾN Ô TÔ TRÁNH KINH DOANH VP SPA V...,Nhà Đất Thổ Cư,Hà Nội,Khuất Duy Tiến,36.0,4.0,3.0,5.0,138.9,2022
CẦN TIỀN ĐẦU TƯ BÁN GẤP CĂN 2 NGỦ 1VS TẠI VINHOMES OCEAN PAR...,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,60.0,2.0,1.0,1.0,16.7,2022
NHANH TAY ĐỪNG BỎ LỠ CƠ HỘI CHỈ 1.85 TỶ SỞ HỮU NGAY CĂN 2N ...,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,68.0,2.0,2.0,1.0,14.7,2022
"ĐÔNG ANH 60M ĐẤT HAI THOÁNG VĨNH VIỄN, ĐƯỜNG TRƯỚC ĐẤT XE TẢ...",Nhà Đất Thổ Cư,Hà Nội,Đường Bắc Thăng Long,60.0,1.0,1.0,4.0,66.7,2022
"BÁN NHÀ MAI DỊCH, Ô TÔ TRÁNH, KINH DOANH, GIÁ 5,8 TỈ",Nhà Đất Thổ Cư,Hà Nội,Mai Dịch,25.0,4.0,5.0,58.0,2320.0,2022
"BÁN CHUNG CƯ 2N2 1 64M2 TẠI VINHOMES SMART CITY, TÂY MỖ, NAM...",Căn Hộ Chung Cư,Hà Nội,Vinhomes Smart City,64.0,2.0,2.0,2.0,31.2,2022
HƠN 3TR/M2 CÓ NGAY LÔ ĐẤT SẴN VƯỜN VÀ AO NẰM TRÊN TRỤC CHÍNH...,Nhà Đất Thổ Cư,Hà Nội,Huyện Thạch Thất,808.0,1.0,1.0,4.0,5.0,2022
CẮT LỖ SÂU CĂN 2N 1WC CÒN 1 55 TỶ TẠI VIN OCEAN PARK,Căn Hộ Chung Cư,Hà Nội,Vinhomes Ocean Park,59.0,2.0,1.0,1.0,16.9,2022
"LÔ 3 CĂN PHỐ ĐẠI LA 5T*30M2, XÂY MỚI TINH, GẦN PHỐ, CÓ SÂN Đ...",Nhà Đất Thổ Cư,Hà Nội,Đại La,30.0,3.0,4.0,3.0,100.0,2022
"NGÕ 521 TRƯƠNG ĐỊNH 5T*32M2, FULL NỘI THẤT, GẦN OTO TRÁNH",Nhà Đất Thổ Cư,Hà Nội,Quận Hoàng Mai,32.0,3.0,4.0,3.0,93.8,2022
"CẦN BÁN NGAY LÔ ĐẤT DT: 174M2,MẶT TIỀN 7M, TẠI THÔN 2 PHÚ CÁ...",Nhà Đất Thổ Cư,Hà Nội,Huyện Quốc Oai,174.0,1.0,1.0,2.0,11.5,2022
BÁN CĂN HỘ TẬP THỂ DỐC THỌ LÃO TẦNG 1: 62M2 SD GIÁ 2.1 TỶ,Căn Hộ Chung Cư,Hà Nội,Quận Hai Bà Trưng,60.0,1.0,1.0,2.0,33.3,2022
